eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
usp00024bq,5/13/84,1984,5.5,Bosnia and Herzegovina,2.3,830,1,,34.9789,414.5151,8.7172,84.0647,,,,0,0,0,0,0
usp00027d9,9/14/84,1984,5.7,"eastern Honshu, Japan",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp0002ccz,3/3/85,1985,8,"offshore Valparaiso, Chile",220,59000,1,,139.232,1749.0244,26.3688,547.2657,,,,0,0,0,0,0
usp0002yu9,10/10/86,1986,5.7,El Salvador,3.3,12000,1,,98.1174,1793.3621,33.0187,589.9461,,,,0,0,0,0,0
usp000329h,2/8/87,1987,7.4,"eastern New Guinea region, Papua New Guinea",140,26000,1,,104.7499,430.887,6.3084,18.7407,,,,0,0,0,0,0
usp00032x6,3/2/87,1987,6.5,North Island of New Zealand,88,5300,1,,88.1385,240.1259,60.5885,114.6438,,,,0,0,0,0,0
usp000330w,3/6/87,1987,7.2,Colombia-Ecuador border region,47,1400,1,,110.908,723.6181,43.0903,802.5272,,,,0,0,0,0,0
usp00035w5,6/18/87,1987,5.9,"Luzon, Philippines",0.1,12,1,,2.1218,116.0062,4.7799,271.3809,,,,0,0,0,0,0
usp0003bbq,12/17/87,1987,6.7,"near the east coast of Honshu, Japan",320,1100000,1,,39.918,200.4672,14.8426,87.747,,,,0,0,0,0,0
usp0003k6t,8/20/88,1988,6.9,Nepal-India border region,4500,5100000,1,,6484.9626,16804.9353,3622.3802,10820.875,,,,0,0,0,0,0
usp0003mvg,10/16/88,1988,5.9,Ionian Sea,12,1100,1,,73.1509,840.0782,38.0846,708.967,,,,0,0,0,0,0
usp0003p6p,11/25/88,1988,5.9,"Saguenay Valley region, Quebec, Canada",4.7,280,1,,62.9936,2005.4976,48.1131,1309.2275,,,,0,0,0,0,0
usp0003stk,3/10/89,1989,5.8,"New Britain region, Papua New Guinea",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp0003xwt,8/1/89,1989,6.3,"Papua, Indonesia",110,210,1,,139.2056,320.1438,47.6184,114.8131,,,,0,0,0,0,0
usp0004985,5/13/90,1990,6.4,North Island of New Zealand,15,230,1,,201.7082,4475.3766,23.957,639.7178,,,,0,0,0,0,0
usp0004bt0,7/13/90,1990,6.4,"Hindu Kush region, Afghanistan",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp0005cq0,8/19/92,1992,7.3,Kyrgyzstan,89,3800,1,,22986.2825,503282.0539,314.8369,9937.0162,,,,0,0,0,0,0
usp0005rcg,4/18/93,1993,6.3,central Peru,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp0005y8t,8/10/93,1993,6.4,North Island of New Zealand,9.4,950,1,,55.5646,413.2868,12.9225,128.3331,,,,0,0,0,0,0
usp000683u,2/5/94,1994,6.2,"Lake Albert region, Uganda",10,1500,1,,51.5692,977.9735,18.269,730.5908,,,,0,0,0,0,0
usp0006dzc,6/9/94,1994,8.2,"La Paz, Bolivia",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp0006efu,6/18/94,1994,6.8,South Island of New Zealand,20,46,1,,257.4288,1353.6638,30.3236,124.8623,,,,0,0,0,0,0
usp0006tcx,2/23/95,1995,6.2,Taiwan,2.7,5000,1,,37.9627,457.1215,19.8367,220.9478,,,,0,0,0,0,0
usp0006znz,6/25/95,1995,6,Taiwan,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000714t,7/30/95,1995,8,"Antofagasta, Chile",9.1,50,1,,29.0394,713.1922,10.8251,503.4678,,,,0,0,0,0,0
usp0007992,12/19/95,1995,5.4,Guatemala,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000799b,12/19/95,1995,6.5,"Papua, Indonesia",120,510,1,,80.7138,509.6388,70.7066,388.7003,,,,0,0,0,0,0
usp0008rnv,7/17/98,1998,5.7,Taiwan,0.34,150,1,,52.6831,1580.7854,38.1256,1063.272,,,,0,0,0,0,0
usp00099y6,6/15/99,1999,7,"Puebla, Mexico",120,21000,1,,71.6919,641.1451,24.8169,712.6861,,,,0,0,0,0,0
usp000a1b0,10/6/00,2000,6.7,"western Honshu, Japan",97,120000,1,,196.3373,820.6054,124.16,522.4023,,,,0,0,0,0,0
usp000a3qq,11/16/00,2000,8,"New Ireland region, Papua New Guinea",230,14000,1,,71.8795,281.7478,14.7108,70.9687,,,,0,0,0,0,0
usp000ajqv,7/17/01,2001,4.7,northern Italy,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000azhc,3/3/02,2002,7.4,"Hindu Kush region, Afghanistan",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000b1gt,4/1/02,2002,5.3,"eastern New Guinea region, Papua New Guinea",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000btf5,3/25/03,2003,6.5,"Flores region, Indonesia",0.72,260,1,,25.2929,499.5811,2.5592,39.7609,,,,0,0,0,0,0
usp000c4tt,8/14/03,2003,6.3,Greece-Albania border region,14,1700,1,,40.599,217.3931,18.7478,116.6057,,,,0,0,0,0,0
usp000c5h6,8/21/03,2003,7.2,South Island of New Zealand,26,35,1,,345.934,1974.3023,7.5715,250.678,,,,0,0,0,0,0
usp000cm59,2/14/04,2004,5.5,Pakistan,0.0018,16,1,,inf,inf,6.345,263.7245,,,,0,0,0,0,0
usp000ctwv,5/1/04,2004,5.2,Taiwan,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000d00p,7/12/04,2004,5.2,Slovenia,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000d6vk,10/23/04,2004,6.6,"near the west coast of Honshu, Japan",280,240000,1,,419.2618,763.169,261.378,389.6672,,,,0,0,0,0,0
usp000dsw1,6/13/05,2005,7.8,"Tarapaca, Chile",120,62,1,,405.9104,9603.0686,46.1671,1373.3262,,,,0,0,0,0,0
usp000e12e,10/8/05,2005,7.6,Pakistan,180,270000,1,,1078.2637,9936.6877,406.0288,4416.9073,,,,0,0,0,0,0
usp000ea1q,2/14/06,2006,5.3,"Sikkim, India",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000eamh,2/22/06,2006,7,Mozambique,130,920,1,,792.242,9828.8836,170.5614,2651.3282,,,,0,0,0,0,0
usp000ep9q,7/22/06,2006,4.9,"Sichuan-Yunnan-Guizhou region, China",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000f83m,4/1/07,2007,8.1,Solomon Islands,1000,23000,1,,475.0421,831.2303,349.1251,681.4834,,,,0,0,0,0,0
usp000fa97,4/21/07,2007,6.2,"Aisen, Chile",10,1200,1,,48.9492,65.0235,16.0729,12.9297,,,,0,0,0,0,0
usp000fg9t,7/16/07,2007,6.6,"near the west coast of Honshu, Japan",290,210000,1,,514.2677,817.3191,308.7011,389.7493,,,,0,0,0,0,0
usp000fgtx,7/21/07,2007,5.2,Tajikistan,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000fjta,8/15/07,2007,8,near the coast of central Peru,13,1200,1,,153.1861,2621.1407,43.6072,1681.7073,,,,0,0,0,0,0
usp000fw2w,1/6/08,2008,6.2,southern Greece,0,0,1,,0,0,0,0,,,,0,0,0,0,0
usp000g650,5/12/08,2008,7.9,"eastern Sichuan, China",620,920000,1,,2035.3981,18756.1462,440.3677,3778.3952,,,,0,0,0,0,0
usp000g7p6,5/24/08,2008,5.9,Colombia,6.9,14000,1,,30.1334,248.2731,8.3395,99.0924,,,,0,0,0,0,0
usp000g8r4,6/6/08,2008,5.5,northern Algeria,0,0,1,,0,0,,,,,,0,0,0,0,0
usp000g8vs,6/8/08,2008,6.4,southern Greece,32,2600,1,,73.4112,696.5457,93.2956,1872.1885,,,,0,0,0,0,0
usp000g9h6,6/13/08,2008,6.9,"eastern Honshu, Japan",220,120000,1,,1159.6064,6347.168,483.5661,2747.6151,,,,0,0,0,0,0
usp000gscg,1/8/09,2009,6.1,Costa Rica,4.3,9700,1,,290.219,9187.2012,71.4209,2068.2042,,,,0,0,0,0,0
usp000gvtu,4/6/09,2009,6.3,central Italy,5.3,530,1,,29.1688,213.7714,44.549,414.0979,,,,0,0,0,0,0
usp000gxkj,5/28/09,2009,7.3,offshore Honduras,930,160000,1,,626.8278,736.7059,124.8693,400.2483,,,,0,0,0,0,0
usp000h237,9/30/09,2009,7.6,"southern Sumatra, Indonesia",3400,1100000,1,,2360.2499,6015.8265,545.7523,562.1684,,,,0,0,0,0,0
usp000h60h,1/12/10,2010,7,Haiti region,220,140000,1,,1352.4773,8540.2986,337.952,2122.7302,,,,0,0,0,0,0
