eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
nc1046962,8/6/79,1979,5.8,Northern California,3.1,590,1,,65.8621,1723.5095,29.7612,1119.455,,,,0,0,0,0,1
nc216859,10/18/89,1989,6.9,"Loma Prieta, California Earthquake",160,110000,4,,546.7057,4095.3041,122.5374,1555.3414,1,1,1,43568191.02,210621891.6,89584745.03,343774827.6,1
nc72282711,8/24/14,2014,6,South Napa,26,2300,4,,309.9252,2176.6068,60.1666,1252.0794,1,1,1,1359.74,2130.64,2939.29,6429.67,1
official19600522191120_30,5/22/60,1960,9.5,1960 Great Chilean Earthquake (Valdivia Earthquake),3100,190000,1,,3740.2323,17528.0434,229.1682,1295.6714,,,,0,0,0,0,0
official19640328033616_30,3/28/64,1964,9.2,"1964 Prince William Sound Earthquake, Alaska",2100,10000,4,,7427.3154,37455.7568,36.2689,460.8261,0,2,2,0,300623328,12826517.89,313449845.9,1
us10006jxs,9/3/16,2016,5.8,"14km NW of Pawnee, Oklahoma",7.1,30,4,,3171.3038,90860.677,35.1608,1211.8321,1,0,0,4935.23,0,0,4935.23,1
ushis2810,4/29/65,1965,6.7,"Seattle-Tacoma urban area, Washington",120,43000,4,,370.2474,3424.4313,66.0008,550.8778,1,1,1,816603.87,12734097.48,25302.91,13576004.26,1
uw10530748,2/28/01,2001,6.8,"Puget Sound region, Washington",92,28000,4,,145.3529,1559.7542,46.0784,416.1256,1,1,1,3158762.79,4169724.08,44213.26,7372700.13,1
ci3031425,6/28/92,1992,6.3,"7km SSE of Big Bear City, CA",3.9,860,5,,131.4623,4106.4351,461.5521,23319.2716,0,1,0,0,0,0,0,1
official20010623203314130_33,6/23/01,2001,8.4,near the coast of southern Peru (Atico),26,330,5,,366.8515,5134.3512,31.9335,839.4273,0,2,0,0,0,0,0,0
usp0004arq,6/20/90,1990,7.4,northern Iran,480,250000,5,,198.0155,1176.2902,67.2731,292.3626,2,0,1,0,0,0,0,0
usp0004bxs,7/16/90,1990,7.7,"Luzon, Philippines",3200,5000000,5,,1454.9678,2446.6287,198.3683,362.9144,2,2,2,0,0,0,0,0
usp0004qpg,4/22/91,1991,7.6,Costa Rica,1300,130000,5,,974.786,1383.7383,245.5903,1197.7728,0,2,2,0,0,0,0,0
usp000547c,3/13/92,1992,6.7,eastern Turkey,18,3100,5,,89.6548,419.6722,112.52,698.8927,1,1,0,0,0,0,0,0
usp0005f89,10/12/92,1992,5.8,Egypt,9.8,40000,5,,429.7432,16402.0319,364.6723,16351.1574,0,1,0,0,0,0,0,0
usp0005j5a,12/12/92,1992,7.8,"Flores region, Indonesia",38,8200,5,,425.6835,3197.7709,21.5507,233.6154,0,1,0,0,0,0,0,0
usp0005w12,7/12/93,1993,7.7,"Hokkaido, Japan region",24,6200,5,,380.4921,2924.0041,103.9806,598.9662,1,1,2,0,0,0,0,0
usp0005y3k,8/8/93,1993,7.8,Guam region,14,2200,5,,143.2789,619.8955,37.5383,211.8003,1,0,2,0,0,0,0,0
usp0006rew,1/16/95,1995,6.9,"near the south coast of western Honshu, Japan",460,2000000,5,,336.1101,900.7536,278.3793,647.9729,1,2,1,0,0,0,0,0
usp0006x90,5/13/95,1995,6.6,Greece (Kozani-Grevena),6.1,210,5,,33.4303,526.9202,41.5711,1929.7193,0,1,0,0,0,0,0,0
usp0006y50,5/27/95,1995,7.1,"Sakhalin, Russia (Neftegorsk)",290,240,5,,435.6801,4973.3261,53.9543,1494.0864,0,1,0,0,0,0,0,0
usp0006z34,6/15/95,1995,6.5,Greece (Aegion),4.4,390,5,,257.7665,1840.4004,77.4809,1384.9705,1,1,0,0,0,0,0,0
usp00074vc,10/9/95,1995,8,"Colima, Mexico (Manzanillo)",250,53000,5,,511.4121,3149.1982,53.3279,377.7774,2,2,1,0,0,0,0,0
usp0007788,11/22/95,1995,7.2,Egypt (Gulf of Aqaba),10,200,5,,354.5207,11337.1555,76.5667,2079.647,0,1,0,0,0,0,0,0
usp0007feq,3/28/96,1996,6,Ecuador,0.11,67,5,,5.4349,346.7126,2.7672,161.9615,0,0,0,0,0,0,0,0
usp0007swp,11/12/96,1996,7.7,near the coast of central Peru,4.6,23,5,,300.0634,5995.9619,14.6483,491.3351,0,1,0,0,0,0,0,0
usp00084m2,7/9/97,1997,7,"Sucre, Venezuela (Cariaco)",100,12000,5,,311.2716,1134.3646,12.0328,158.038,0,1,2,0,0,0,0,0
usp0008qkc,6/27/98,1998,6.3,central Turkey (Adana-Ceyhan),250,62000,5,,317.6986,1863.4152,14.7333,158.6819,1,1,1,0,0,0,0,0
